booking_id,customer_id,customer_name,customer_segment,customer_signup_date,customer_home_city,customer_loyalty_tier,property_id,property_name,property_city,property_star_rating,property_type,property_total_rooms,booking_date,checkin_date,checkout_date,room_type,num_rooms,nights,booking_channel,adr,discount_amount,coupon_code,total_amount,payment_method,booking_status,review_rating,review_date
100073,1,Customer_1,Individual,2022-02-04,Jaipur,Silver,46,Coral Manor,Kochi,4,Budget,80,2021-10-22,2024-05-25,2024-05-26,Standard,1,1,Corporate Portal,2044.52,0.0,,2044.52,Net Banking,Cancelled,,
100154,145,Customer_145,Group,2023-10-17,Delhi,Platinum,43,Indigo Lodge,Bangalore,3,Mid-Range,100,2023-10-06,2024-01-04,2024-01-05,Standard,2,1,Corporate Portal,4284.2,0.0,,8568.4,Net Banking,Cancelled,,
100296,565,Customer_565,Corporate,2023-11-17,Manali,Silver,35,Maple Retreat,Bangalore,2,Premium,100,2023-11-03,2024-07-20,2024-07-25,Standard,1,5,Corporate Portal,9124.74,0.0,NONE,45623.7,Net Banking,Completed,,
100361,326,Customer_326,Corporate,2023-12-21,Kochi,Gold,9,Crimson Retreat,Udaipur,5,Mid-Range,80,2023-11-06,2024-01-07,2024-01-10,Suite,2,3,Corporate Portal,15764.96,0.0,NONE,94589.76,UPI,Completed,4.0,2024-01-11
100420,293,Customer_293,Individual,2022-07-09,Delhi,Silver,8,Royal Orchid,Goa,5,Luxury,120,2022-03-23,2024-05-28,2024-05-29,Standard,1,1,OTA,20940.76,5737.72,APPDEAL,15203.04,Net Banking,Completed,5.0,2024-06-11
100478,173,Customer_173,Individual,2023-10-10,Pune,None,43,Indigo Lodge,Bangalore,3,Mid-Range,100,2023-08-02,2024-07-20,2024-07-22,Standard,1,2,OTA,4555.46,2513.07,APPDEAL,6597.85,UPI,Completed,,
100640,460,Customer_460,Group,2022-04-14,Bangalore,Silver,14,Pearl Haven,Pune,3,Budget,120,2022-01-14,2024-06-04,2024-06-08,Standard,2,4,Direct Website,2311.98,0.0,NONE,18495.84,UPI,Completed,,
100642,148,Customer_148,Individual,2023-11-17,Manali,None,29,Cedar Lodge,Kochi,5,Mid-Range,60,2023-10-12,2024-01-10,2024-01-11,Standard,1,1,Direct Website,3544.89,0.0,,3544.89,Debit Card,Completed,,
100662,338,Customer_338,Individual,2023-12-26,Jaipur,Silver,51,Olive Courtyard,Mumbai,5,Premium,60,2023-12-07,2024-01-16,2024-01-20,Suite,1,4,OTA,19383.75,18926.92,WELCOME,58608.08,Credit Card,Completed,,
100719,338,Customer_338,Individual,2023-12-26,Jaipur,Silver,8,Royal Orchid,Goa,5,Luxury,120,2023-10-10,2024-01-08,2024-01-10,Suite,1,2,Travel Agent,63123.05,0.0,NONE,126246.1,Debit Card,Completed,3.0,2024-01-21
100912,494,Customer_494,Corporate,2023-12-29,Pune,Platinum,2,The Grand Plaza,Bangalore,5,Luxury,80,2023-12-21,2024-03-20,2024-03-25,Suite,3,5,Direct Website,27043.31,0.0,NONE,405649.65,UPI,Completed,8.0,2024-03-29
101023,318,Customer_318,Individual,2023-06-10,Manali,Platinum,53,Saffron Heights,Chennai,3,Luxury,150,2023-05-12,2024-04-12,2024-04-15,Standard,1,3,OTA,14400.48,0.0,,43201.44,Credit Card,Completed,,
101325,165,Customer_165,Individual,2022-08-12,Manali,Silver,19,Marigold Palace,Delhi,4,Mid-Range,60,2022-07-29,2024-12-29,2025-01-02,Standard,1,4,Direct Website,4961.21,2844.32,APPDEAL,17000.52,Debit Card,Completed,5.0,2025-01-16
101363,4,Customer_4,Group,2023-11-29,Bangalore,None,24,Banyan Retreat,Bangalore,2,Budget,40,2023-11-26,2024-01-05,2024-01-09,Standard,2,4,Direct Website,2063.68,0.0,NONE,16509.44,Net Banking,Completed,,
101417,770,Customer_770,Corporate,2023-10-05,Manali,Silver,38,Crimson Courtyard,Manali,3,Mid-Range,40,2023-08-03,2024-04-20,2024-04-24,Standard,2,4,Corporate Portal,4171.58,0.0,NONE,33372.64,Net Banking,Completed,5.0,2024-05-11
101547,737,Customer_737,Group,2022-04-13,Udaipur,Gold,10,Lotus Manor,Manali,4,Mid-Range,150,2022-02-22,2024-03-15,2024-03-19,Standard,5,4,Corporate Portal,4349.9,0.0,,86998.0,UPI,Completed,,
101582,657,Customer_657,Individual,2023-12-08,Jaipur,Silver,9,Crimson Retreat,Udaipur,5,Mid-Range,80,2023-08-27,2024-01-15,2024-01-18,Deluxe,1,3,OTA,9631.17,7961.17,WELCOME,20932.34,Credit Card,Cancelled,,
101596,669,Customer_669,Corporate,2023-12-21,Kochi,Platinum,18,Coral Haven,Pune,4,Mid-Range,150,2023-12-10,2024-02-08,2024-02-13,Deluxe,2,5,Corporate Portal,6378.48,12032.74,FEST15,51752.06,Debit Card,No-Show,,
101730,81,Customer_81,Individual,2022-04-21,Goa,Platinum,52,Crimson Manor,Pune,4,Budget,40,2022-01-19,2024-03-06,2024-03-08,Standard,1,2,Corporate Portal,2182.63,807.85,FEST15,3557.41,Debit Card,Completed,,
101784,701,Customer_701,Individual,2022-09-26,Goa,None,20,Banyan Heights,Chennai,2,Mid-Range,80,2022-07-27,2024-01-03,2024-01-06,Deluxe,1,3,OTA,5270.9,4347.04,FEST15,11465.66,Debit Card,Cancelled,,
101789,707,Customer_707,Individual,2023-05-23,Pune,None,22,Banyan Stay,Manali,2,Budget,30,2023-04-29,2024-05-12,2024-05-16,Suite,1,4,Corporate Portal,3333.79,1688.84,FEST15,11646.32,Net Banking,Completed,3.0,2024-05-18
101812,390,Customer_390,Corporate,2023-02-13,Udaipur,None,38,Crimson Courtyard,Manali,3,Mid-Range,40,2022-11-16,2024-05-18,2024-05-20,Deluxe,3,2,Corporate Portal,6083.93,0.0,,36503.58,Net Banking,Completed,9.0,2024-05-30
