booking_id,customer_id,customer_name,customer_segment,customer_signup_date,customer_home_city,customer_loyalty_tier,property_id,property_name,property_city,property_star_rating,property_type,property_total_rooms,booking_date,checkin_date,checkout_date,room_type,num_rooms,nights,booking_channel,adr,discount_amount,coupon_code,total_amount,payment_method,booking_status,review_rating,review_date
100131,565,Customer_565,Corporate,2023-11-17,Manali,Silver,48,Amber Manor,Chennai,3,Premium,100,2024-06-01,2024-06-16,2024-06-18,Standard,2,2,Corporate Portal,8874.45,0.0,,35497.8,Credit Card,Cancelled,9.0,2024-07-01
100925,229,Customer_229,Individual,2022-07-09,Bangalore,Silver,17,Indigo Palace,Udaipur,3,Budget,100,2024-04-06,2024-07-05,2024-07-09,Standard,1,4,OTA,3012.18,2136.49,FEST15,9912.23,Credit Card,Cancelled,4.0,2024-07-09
100955,770,Customer_770,Corporate,2023-10-05,Manali,Silver,19,Marigold Palace,Delhi,4,Mid-Range,60,2023-12-06,2024-01-15,2024-01-17,Standard,2,2,Corporate Portal,5528.25,1627.54,SAVE10,20485.46,Debit Card,Cancelled,10.0,2024-02-14
101314,307,Customer_307,Individual,2022-11-20,Goa,Gold,7,Royal Orchid,Chennai,4,Budget,80,2024-10-09,2024-11-03,2024-11-06,Standard,1,3,OTA,2480.75,0.0,NONE,7442.25,Net Banking,Cancelled,4.0,2024-11-16
101349,348,Customer_348,Corporate,2023-09-26,Kochi,None,13,Tusker Palace,Goa,5,Mid-Range,80,2024-04-22,2024-06-01,2024-06-05,Standard,1,4,Corporate Portal,4407.45,1970.15,SAVE10,15659.65,Credit Card,Cancelled,8.0,2024-06-26
101606,599,Customer_599,Individual,2022-01-18,Mumbai,None,43,Indigo Lodge,Bangalore,3,Mid-Range,100,2024-05-15,2024-05-17,2024-05-18,Standard,1,1,OTA,4058.85,962.37,APPDEAL,3096.48,UPI,Cancelled,4.0,2024-05-20
101705,385,Customer_385,Individual,2023-09-17,Pune,Silver,46,Coral Manor,Kochi,4,Budget,80,2024-05-07,2024-05-14,2024-05-17,Deluxe,1,3,Travel Agent,2600.4,0.0,NONE,7801.2,Debit Card,Cancelled,5.0,2024-06-09
101944,212,Customer_212,Corporate,2022-10-29,Bangalore,Silver,41,Marigold Residency,Pune,4,Mid-Range,60,2024-05-15,2024-06-09,2024-06-10,Standard,1,1,Corporate Portal,4678.52,769.44,SAVE10,3909.08,Credit Card,Cancelled,9.0,2024-06-14
102048,383,Customer_383,Individual,2022-09-19,Manali,Silver,1,The Grand Plaza,Kochi,5,Premium,60,2024-09-21,2024-11-20,2024-11-20,Deluxe,1,2,Direct Website,9989.88,3020.35,APPDEAL,16959.41,UPI,Cancelled,4.0,2024-12-09
102157,123,Customer_123,Group,2023-09-11,Mumbai,Gold,31,Azure Residency,Udaipur,2,Premium,150,2024-12-01,2024-12-08,2024-12-10,Deluxe,3,2,Corporate Portal,17691.58,0.0,,106149.48,Credit Card,Cancelled,2.0,2024-12-24
