booking_id,customer_id,customer_name,customer_segment,customer_signup_date,customer_home_city,customer_loyalty_tier,property_id,property_name,property_city,property_star_rating,property_type,property_total_rooms,booking_date,checkin_date,checkout_date,room_type,num_rooms,nights,booking_channel,adr,discount_amount,coupon_code,total_amount,payment_method,booking_status,review_rating,review_date
100151,439,Customer_439,Individual,2023-12-13,Delhi,Gold,25,Tusker Stay,Pune,2,Mid-Range,60,2024-11-28,2024-12-13,2024-12-13,Standard,1,4,Travel Agent,3870.62,0.0,NONE,15482.48,UPI,Completed,4.0,2024-12-20
100172,288,Customer_288,Individual,2022-10-22,Kochi,None,13,Tusker Palace,Goa,5,Mid-Range,80,2024-08-02,2024-08-09,2024-08-08,Deluxe,1,2,Direct Website,5195.17,0.0,,10390.34,Debit Card,Completed,,
100245,512,Customer_512,Individual,2022-09-01,Mumbai,None,60,Amber Suites,Pune,2,Luxury,150,2024-09-23,2024-09-30,2024-09-29,Deluxe,1,3,OTA,17514.44,9638.16,SAVE10,42905.16,Debit Card,Completed,,
100264,720,Customer_720,Individual,2023-07-09,Manali,None,10,Lotus Manor,Manali,4,Mid-Range,150,2024-11-15,2024-11-22,2024-11-22,Suite,1,2,OTA,8193.39,3716.72,FEST15,12670.06,Credit Card,Completed,,
100375,670,Customer_670,Individual,2023-10-06,Jaipur,None,4,Sea Breeze Resort,Goa,4,Mid-Range,80,2024-05-04,2024-05-19,2024-05-19,Standard,1,1,Travel Agent,6150.64,984.68,FEST15,5165.96,Credit Card,Completed,4.0,2024-05-22
100441,604,Customer_604,Individual,2023-09-15,Mumbai,None,10,Lotus Manor,Manali,4,Mid-Range,150,2024-10-08,2024-11-02,2024-11-01,Deluxe,1,1,OTA,6848.05,0.0,NONE,6848.05,UPI,Cancelled,,
100473,67,Customer_67,Individual,2023-12-17,Chennai,Gold,28,Indigo Retreat,Kochi,4,Budget,200,2024-08-29,2024-10-28,2024-10-27,Standard,1,2,OTA,2434.82,0.0,,4869.64,Debit Card,Cancelled,,
100482,588,Customer_588,Individual,2023-09-11,Delhi,None,14,Pearl Haven,Pune,3,Budget,120,2024-03-20,2024-03-22,2024-03-22,Deluxe,1,2,Direct Website,2854.0,0.0,,5708.0,UPI,Completed,3.0,2024-04-07
100541,328,Customer_328,Individual,2023-06-27,Mumbai,Silver,42,Coral Suites,Chennai,2,Budget,150,2024-06-10,2024-09-08,2024-09-07,Standard,1,4,OTA,1997.86,1842.73,FEST15,6148.71,Credit Card,Completed,5.0,2024-09-16
100594,32,Customer_32,Individual,2022-10-08,Manali,Silver,5,Hilltop Inn,Chennai,5,Budget,60,2024-06-11,2024-06-26,2024-06-26,Suite,1,2,OTA,3819.17,0.0,NONE,7638.34,Credit Card,Cancelled,,
100639,249,Customer_249,Individual,2023-01-09,Delhi,Silver,53,Saffron Heights,Chennai,3,Luxury,150,2024-11-04,2024-11-11,2024-11-11,Deluxe,1,5,OTA,19842.41,0.0,NONE,99212.05,UPI,Completed,,
100648,267,Customer_267,Individual,2022-02-01,Goa,Silver,50,Jade Palace,Chennai,5,Premium,60,2023-12-26,2024-01-10,2024-01-09,Deluxe,1,3,Direct Website,11696.45,6262.51,WELCOME,28826.84,Net Banking,Completed,4.0,2024-01-22
100728,368,Customer_368,Group,2023-08-03,Goa,None,13,Tusker Palace,Goa,5,Mid-Range,80,2024-06-06,2024-06-21,2024-06-20,Suite,2,1,OTA,6927.55,0.0,,13855.1,Net Banking,Cancelled,,
100731,740,Customer_740,Corporate,2023-01-29,Goa,Platinum,18,Coral Haven,Pune,4,Mid-Range,150,2024-07-06,2024-07-13,2024-07-12,Deluxe,1,1,Corporate Portal,6255.26,1201.94,WELCOME,5053.32,Net Banking,Completed,10.0,2024-07-20
100771,44,Customer_44,Individual,2022-09-06,Mumbai,None,37,Olive Lodge,Udaipur,3,Budget,40,2024-02-08,2024-02-10,2024-02-10,Standard,1,4,Travel Agent,3035.76,1194.24,FEST15,10948.8,Net Banking,Completed,4.0,2024-02-17
100812,655,Customer_655,Corporate,2022-10-05,Udaipur,Platinum,12,Sapphire Courtyard,Pune,5,Mid-Range,120,2024-10-07,2024-12-06,2024-12-06,Standard,2,4,Corporate Portal,3685.0,0.0,NONE,29480.0,Net Banking,Completed,,
100814,564,Customer_564,Individual,2023-09-14,Chennai,None,40,Mango Lodge,Bangalore,3,Mid-Range,40,2023-12-17,2024-01-11,2024-01-10,Standard,1,2,OTA,5050.07,2736.91,WELCOME,7363.23,Credit Card,Completed,,
100867,134,Customer_134,Individual,2023-04-02,Goa,Silver,34,Velvet Palace,Pune,2,Premium,150,2024-06-03,2024-06-18,2024-06-17,Deluxe,1,2,Direct Website,11586.95,2930.39,FEST15,20243.51,Debit Card,Completed,,
100889,137,Customer_137,Individual,2023-03-21,Jaipur,None,5,Hilltop Inn,Chennai,5,Budget,60,2024-02-19,2024-03-15,2024-03-15,Deluxe,1,2,Travel Agent,3002.39,0.0,NONE,6004.78,Net Banking,Completed,5.0,2024-03-27
100906,700,Customer_700,Individual,2023-04-14,Pune,Silver,49,Mango Retreat,Delhi,3,Mid-Range,100,2024-06-17,2024-07-02,2024-07-02,Standard,1,1,Corporate Portal,4440.78,0.0,,4440.78,Net Banking,Completed,5.0,2024-07-16
100914,3,Customer_3,Individual,2023-08-19,Chennai,Silver,49,Mango Retreat,Delhi,3,Mid-Range,100,2024-03-18,2024-04-12,2024-04-11,Suite,1,2,OTA,11111.89,0.0,,22223.78,UPI,Completed,3.0,2024-04-22
100987,575,Customer_575,Individual,2023-05-13,Udaipur,Silver,30,Ivory Retreat,Jaipur,5,Budget,60,2023-12-09,2024-01-03,2024-01-02,Deluxe,1,3,Corporate Portal,2794.26,1303.66,SAVE10,7079.12,UPI,Completed,,
101012,662,Customer_662,Individual,2022-12-05,Pune,Silver,15,Lotus Haven,Bangalore,3,Mid-Range,80,2024-02-24,2024-03-10,2024-03-10,Standard,1,3,Corporate Portal,4141.22,0.0,NONE,12423.66,Net Banking,Completed,5.0,2024-03-17
101013,753,Customer_753,Corporate,2022-03-29,Pune,None,28,Indigo Retreat,Kochi,4,Budget,200,2024-02-06,2024-03-02,2024-03-02,Suite,2,1,Corporate Portal,4148.32,0.0,,8296.64,Credit Card,Cancelled,,
