Column,Data Type,Unique Values,Missing,Blank Strings
booking_id,int64,12000,0,0
customer_id,int64,800,0,0
customer_name,str,800,0,0
customer_segment,str,3,0,0
customer_signup_date,str,488,0,0
customer_home_city,str,10,0,0
customer_loyalty_tier,str,4,0,0
property_id,int64,60,0,0
property_name,str,56,0,0
property_city,str,10,0,0
property_star_rating,int64,4,0,0
property_type,str,4,0,0
property_total_rooms,int64,8,0,0
booking_date,str,560,0,0
checkin_date,str,366,0,0
checkout_date,str,372,0,0
room_type,str,3,0,0
num_rooms,int64,6,0,0
nights,int64,6,0,0
booking_channel,str,4,0,0
adr,float64,11940,0,0
discount_amount,float64,4123,0,0
coupon_code,str,6,0,3894
total_amount,float64,11923,0,0
payment_method,str,4,0,0
booking_status,str,3,0,0
review_rating,str,11,0,6854
review_date,str,388,0,6854
