booking_month,realized_revenue,cumulative_revenue
2021-10,20542.57,20542.57
2021-11,112489.9,133032.47
2021-12,112073.5,245105.97
2022-01,61254.07,306360.04
2022-02,133000.69,439360.73
2022-03,197592.43,636953.1599999999
2022-04,42994.83,679947.9899999999
2022-05,472773.01,1152721.0
2022-06,3897.98,1156618.98
2022-07,98309.91,1254928.89
2022-08,119771.56,1374700.45
2022-09,75747.86,1450448.31
2022-10,148847.02,1599295.33
2022-11,95800.32,1695095.6500000001
2022-12,84860.5,1779956.1500000001
2023-01,12169.02,1792125.1700000002
2023-02,14462.38,1806587.55
2023-03,60491.39,1867078.94
2023-04,75792.53,1942871.47
2023-05,68654.48000000001,2011525.95
2023-06,67411.26,2078937.21
2023-07,106143.58,2185080.79
2023-08,68492.65,2253573.44
2023-09,214679.09999999998,2468252.54
2023-10,2164842.14,4633094.68
2023-11,4092580.13,8725674.809999999
2023-12,15861022.97,24586697.78
2024-01,27098589.87,51685287.650000006
2024-02,19730101.71,71415389.36000001
2024-03,24139194.6,95554583.96000001
2024-04,22399065.1,117953649.06
2024-05,21708715.7,139662364.76
2024-06,21222333.65,160884698.41
2024-07,22410093.330000002,183294791.74
2024-08,23906087.11,207200878.85000002
2024-09,24650804.57,231851683.42000002
2024-10,26607093.29,258458776.71
2024-11,25265264.18,283724040.89
2024-12,11135750.72,294859791.61
